,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,title,MFCCs,views,rating
10,10.0,10.0,10.0,Dancing In The Moonlight,"[[-546.2474318 -546.2474318 -546.2474318 ... -546.2474318 -546.2474318
  -546.2474318]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 ...
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]
 [   0.           0.           0.        ...    0.           0.
     0.       ]]",2548457,4.8928185
11,11.0,11.0,11.0,Me And The Boys,"[[-4.60043428e+02 -4.60043428e+02 -4.60043428e+02 ... -4.23960040e+02
  -4.46635907e+02 -4.56987582e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.72194381e+01
   1.18828494e+01  2.96331053e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -5.38472938e+00
  -1.29279476e+00 -1.41425235e-01]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.47833785e+00
   1.41526966e+00  1.41784609e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  5.42623268e+00
   2.49211438e+00  1.36998733e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.02536105e+00
   1.17291426e+00 -1.52520085e+00]]",5698,5.0
12,12.0,12.0,12.0,Baby Drives Me Crazy,"[[-559.82539155 -559.82539155 -559.82539155 ... -559.82539155
  -559.82539155 -559.82539155]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",33492,4.7984495
13,13.0,13.0,13.0,Broken Dreams,"[[-582.73259588 -582.73259588 -582.73259588 ... -582.73259588
  -582.73259588 -582.73259588]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",61137,4.9215684
14,14.0,14.0,14.0,Sarah (Version 2),"[[-572.46291741 -572.46291741 -572.46291741 ... -572.46291741
  -572.46291741 -572.46291741]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",79410,4.9414635
15,15.0,15.0,15.0,Shades Of A Blue Orphanage,"[[-505.77479362 -505.77479362 -505.77479362 ... -505.77479362
  -505.77479362 -505.77479362]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",8595,4.9560437
16,16.0,16.0,16.0,Call The Police,"[[-554.34372223 -554.34372223 -554.34372223 ... -554.34372223
  -554.34372223 -554.34372223]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",25493,4.8647342
17,17.0,17.0,17.0,Clifton Grange Hotel,"[[-530.79628766 -530.79628766 -530.79628766 ... -188.2392194
  -165.10078968 -249.86337706]
 [   0.            0.            0.         ...   34.78443115
    36.63847131   29.51490447]
 [   0.            0.            0.         ...  -13.07287817
   -14.69948828   -7.4968684 ]
 ...
 [   0.            0.            0.         ...  -10.73701692
   -12.09559551   -8.58277806]
 [   0.            0.            0.         ...   12.14731654
    12.83259396    8.91498389]
 [   0.            0.            0.         ...  -11.60692514
   -12.59783811   -9.95467801]]",4907,4.914893599999999
18,18.0,18.0,18.0,Return Of The Farmer's Son,"[[-534.93544982 -534.93544982 -534.93544982 ... -520.78513002
  -509.56027114 -501.00622911]
 [   0.            0.            0.         ...   19.93250793
    34.79707432   44.80568804]
 [   0.            0.            0.         ...   19.69670266
    31.79227936   36.66920382]
 ...
 [   0.            0.            0.         ...   13.16463857
     7.07834157    4.46778258]
 [   0.            0.            0.         ...   11.9717291
     6.00465767    3.17027439]
 [   0.            0.            0.         ...   10.75084439
     5.17500492    2.76729343]]",29313,4.9377432
19,19.0,19.0,19.0,Things Ain't Working Out Down At The Farm,"[[-522.89590007 -522.89590007 -522.89590007 ... -522.89590007
  -522.89590007 -522.89590007]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",26305,4.914893599999999
